PERIODO,TERRITORIO,PATOLOGIA,MASCHI,FEMMINE
2009-2017,84018,"Malattie endocrine, nutrizionali e metaboliche",12,27
2009-2017,84018,Diabete mellito,11,24
2009-2017,84018,Disturbi psichici e comportamentali,4,5
2009-2017,84018,Abuso di alcool (compresa psicosi alcolica),1,0
2009-2017,84018,Malattie del sistema nervoso e degli organi di senso,8,15
2009-2017,84018,Malattie del sistema circolatorio,104,162
2009-2017,84018,Malattie ischemiche del cuore,28,31
2009-2017,84018,Altre malattie del cuore,24,48
2009-2017,84018,Malattie cerebrovascolari,27,34
2009-2017,84018,Malattie del sistema respiratorio,28,9
2009-2017,84018,Polmonite,1,1
2009-2017,84018,Malattie croniche delle basse vie respiratorie,9,6
2009-2017,84018,Malattie dell'apparato digerente,6,10
2009-2017,84018,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,84018,Malattie epatiche croniche,4,7
2009-2017,84018,Malattie della pelle e del tessuto sottocutaneo,0,1
2009-2017,84018,Malattie del sistema osteomuscolare e del tessuto connettivo,1,2
2009-2017,84018,Artrite reumatoide e osteoartrite,1,0
2009-2017,84018,Malattie del sistema genitourinario,4,5
2009-2017,84018,Malattie del rene e dell'uretere,4,5
2009-2017,84018,Alcune condizioni che hanno origine nel periodo perinatale,0,1
2009-2017,84018,Malformazioni congenite e anormalità cromosomiche,1,0
2009-2017,84018,Malformazioni congenite del sistema nervoso,1,0
2009-2017,84018,"Sintomi, segni, risultati anomali e cause mal definite",2,2
2009-2017,84018,Cause esterne di traumatismo e avvelenamento,12,8
2009-2017,84018,Accidenti,3,7
2009-2017,84018,Cadute accidentali,3,6
2009-2017,84018,Suicidio e autolesione intenzionale,8,1
2009-2017,84019,Tumore,19,14
2009-2017,84019,Tumori maligni,19,14
2009-2017,84019,Tumori maligni del colon,1,1
2009-2017,84019,Tumori maligni del fegato e dei dotti biliari intraepatici,2,0
2009-2017,84019,Tumori maligni della laringe e della trachea/bronchi/polm.,7,1
2009-2017,84019,Tumori maligni del seno,0,5
2009-2017,84019,Tumori maligni di altre parti dell'utero,0,1
2009-2017,84019,Tumori maligni dell'ovaio,0,3
2009-2017,84019,Tumori maligni della prostata,3,0
2009-2017,84019,Tumori maligni del rene,1,0
2009-2017,84019,Tumori maligni della vescica,3,0
2009-2017,84019,Tumori maligni del tessuto linfatico/ematopoietico,1,0
2009-2017,84019,"Malattie endocrine, nutrizionali e metaboliche",3,8
2009-2017,84019,Diabete mellito,3,8
2009-2017,84019,Disturbi psichici e comportamentali,1,2
2009-2017,84019,Malattie del sistema nervoso e degli organi di senso,2,1
2009-2017,84019,Malattie del sistema circolatorio,21,34
2009-2017,84019,Malattie ischemiche del cuore,2,1
2009-2017,84019,Altre malattie del cuore,6,5
2009-2017,84019,Malattie cerebrovascolari,5,11
2009-2017,84019,Malattie del sistema respiratorio,6,3
2009-2017,84019,Polmonite,1,1
2009-2017,84019,Malattie croniche delle basse vie respiratorie,4,2
2009-2017,84019,Malattie dell'apparato digerente,2,3
2009-2017,84019,Malattie epatiche croniche,2,3
2009-2017,84019,Malattie del sistema osteomuscolare e del tessuto connettivo,1,1
2009-2017,84019,Artrite reumatoide e osteoartrite,0,1
2009-2017,84019,Malattie del sistema genitourinario,2,2
2009-2017,84019,Malattie del rene e dell'uretere,2,2
2009-2017,84019,Malformazioni congenite e anormalità cromosomiche,0,1
2009-2017,84019,"Sintomi, segni, risultati anomali e cause mal definite",0,2
2009-2017,84019,Cause esterne di traumatismo e avvelenamento,1,1
2009-2017,84019,Accidenti,1,0
2009-2017,84019,Suicidio e autolesione intenzionale,0,1
2009-2017,84020,Malattie infettive e parassitarie,0,2
2009-2017,84020,Epatite virale,0,1
2009-2017,84020,Tumore,91,37
2009-2017,84020,Tumori maligni,91,37
2009-2017,84020,"Tumori maligni delle labbra, cavità orale e faringe",5,0
2009-2017,84020,Tumori maligni dell'esofago,2,0
2009-2017,84020,Tumori maligni dello stomaco,8,1
2009-2017,84020,Tumori maligni del colon,10,5
2009-2017,84020,Tumori maligni del retto e dell'ano,0,1
2009-2017,84020,Tumori maligni del fegato e dei dotti biliari intraepatici,5,1
2009-2017,84020,Tumori maligni del pancreas,7,2
2009-2017,84020,Tumori maligni della laringe e della trachea/bronchi/polm.,20,8
2009-2017,84020,Tumori maligni della cute,1,1
2009-2017,84020,Tumori maligni del seno,0,8
2009-2017,84020,Tumori maligni di altre parti dell'utero,0,1
2009-2017,84020,Tumori maligni della prostata,14,0
2009-2017,84020,Tumori maligni del rene,2,0
2009-2017,84020,Tumori maligni della vescica,6,0
2009-2017,84020,Tumori maligni del tessuto linfatico/ematopoietico,4,3
2009-2017,84020,"Malattie endocrine, nutrizionali e metaboliche",13,10
2009-2017,84020,Diabete mellito,13,10
2009-2017,84020,Disturbi psichici e comportamentali,4,5
2009-2017,84020,Abuso di alcool (compresa psicosi alcolica),1,0
2009-2017,84020,Malattie del sistema nervoso e degli organi di senso,6,4
2009-2017,84020,Malattie del sistema circolatorio,75,65
2009-2017,84020,Malattie ischemiche del cuore,24,11
2009-2017,84020,Altre malattie del cuore,22,13
2009-2017,84020,Malattie cerebrovascolari,14,24
2009-2017,84020,Malattie del sistema respiratorio,8,8
2009-2017,84020,Polmonite,1,2
2009-2017,84020,Malattie croniche delle basse vie respiratorie,5,2
2009-2017,84020,Malattie dell'apparato digerente,8,6
2009-2017,84020,"Ulcera dello stomaco, duodeno e digiuno",1,1
2009-2017,84020,Malattie epatiche croniche,4,1
2009-2017,84020,Malattie del sistema osteomuscolare e del tessuto connettivo,0,1
2009-2017,84020,Malattie del sistema genitourinario,7,5
2009-2017,84020,Malattie del rene e dell'uretere,6,5
2009-2017,84020,Malformazioni congenite e anormalità cromosomiche,2,0
2009-2017,84020,Malformazioni congenite del sistema circolatorio,2,0
2009-2017,84020,"Sintomi, segni, risultati anomali e cause mal definite",5,9
2009-2017,84020,Cause esterne di traumatismo e avvelenamento,6,7
2009-2017,84020,Accidenti,3,6
2009-2017,84020,Accidenti di trasporto,1,0
2009-2017,84020,Cadute accidentali,2,5
2009-2017,84020,Suicidio e autolesione intenzionale,2,1
2009-2017,84020,Eventi di intento indeterminato,1,0
2009-2017,84021,Malattie infettive e parassitarie,8,5
2009-2017,84021,Tubercolosi,0,1
2009-2017,84021,Epatite virale,0,2
2009-2017,84021,Tumore,549,338
2009-2017,84021,Tumori maligni,543,334
2009-2017,84021,"Tumori maligni delle labbra, cavità orale e faringe",10,3
2009-2017,84021,Tumori maligni dell'esofago,2,5
2009-2017,84021,Tumori maligni dello stomaco,25,18
2009-2017,84021,Tumori maligni del colon,46,32
2009-2017,84021,Tumori maligni del retto e dell'ano,11,8
2009-2017,84021,Tumori maligni del fegato e dei dotti biliari intraepatici,25,8
2009-2017,84021,Tumori maligni del pancreas,36,23
2009-2017,84021,Tumori maligni della laringe e della trachea/bronchi/polm.,168,24
2009-2017,84021,Tumori maligni della cute,2,3
2009-2017,84021,Tumori maligni del seno,1,68
2009-2017,84021,Tumori maligni della cervice uterina,0,1
2009-2017,84021,Tumori maligni di altre parti dell'utero,0,14
2009-2017,84021,Tumori maligni dell'ovaio,0,8
2009-2017,84021,Tumori maligni della prostata,70,0
2009-2017,84021,Tumori maligni del rene,3,2
2009-2017,84021,Tumori maligni della vescica,40,10
2009-2017,84021,Tumori maligni del tessuto linfatico/ematopoietico,34,32
2009-2017,84021,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,7,8
2009-2017,84021,"Malattie endocrine, nutrizionali e metaboliche",90,165
2009-2017,84021,Diabete mellito,84,159
2009-2017,84021,Disturbi psichici e comportamentali,17,19
2009-2017,84021,Abuso di alcool (compresa psicosi alcolica),1,0
2009-2017,84021,Malattie del sistema nervoso e degli organi di senso,48,54
2009-2017,84021,Meningite (diverso da 03),1,0
2009-2017,84021,Malattie del sistema circolatorio,565,634
2009-2017,84021,Malattie ischemiche del cuore,169,154
2009-2017,84021,Altre malattie del cuore,122,127
2009-2017,84021,Malattie cerebrovascolari,198,240
2009-2017,84021,Malattie del sistema respiratorio,127,68
2009-2017,84021,Polmonite,29,13
2009-2017,84021,Malattie croniche delle basse vie respiratorie,71,36
2009-2017,84021,Asma,0,3
2009-2017,84021,Malattie dell'apparato digerente,49,45
2009-2017,84021,"Ulcera dello stomaco, duodeno e digiuno",1,4
2009-2017,84021,Malattie epatiche croniche,20,18
2009-2017,84021,Malattie della pelle e del tessuto sottocutaneo,0,1
2009-2017,84021,Malattie del sistema osteomuscolare e del tessuto connettivo,1,6
2009-2017,84021,Artrite reumatoide e osteoartrite,0,2
2009-2017,84021,Malattie del sistema genitourinario,51,47
2009-2017,84021,Malattie del rene e dell'uretere,50,47
2009-2017,84021,Alcune condizioni che hanno origine nel periodo perinatale,4,0
2009-2017,84021,Malformazioni congenite e anormalità cromosomiche,12,4
2009-2017,84021,Malformazioni congenite del sistema nervoso,6,2
2009-2017,84021,Malformazioni congenite del sistema circolatorio,2,1
2009-2017,84021,"Sintomi, segni, risultati anomali e cause mal definite",102,154
2009-2017,84021,Cause esterne di traumatismo e avvelenamento,52,27
2009-2017,84021,Accidenti,29,20
2009-2017,84021,Accidenti di trasporto,11,5
2009-2017,84021,Cadute accidentali,11,11
2009-2017,84021,Avvelenamento accidentale,1,1
2009-2017,84021,Suicidio e autolesione intenzionale,18,5
2009-2017,84021,"Omicidio, aggressione",4,1
2009-2017,84021,Eventi di intento indeterminato,1,1
2009-2017,84022,Malattie infettive e parassitarie,0,1
2009-2017,84022,Tumore,38,35
2009-2017,84022,Tumori maligni,38,35
2009-2017,84022,"Tumori maligni delle labbra, cavità orale e faringe",1,1
2009-2017,84022,Tumori maligni dell'esofago,0,1
2009-2017,84022,Tumori maligni dello stomaco,2,2
2009-2017,84022,Tumori maligni del colon,3,4
2009-2017,84022,Tumori maligni del retto e dell'ano,4,1
2009-2017,84022,Tumori maligni del fegato e dei dotti biliari intraepatici,3,2
2009-2017,84022,Tumori maligni del pancreas,2,1
2009-2017,84022,Tumori maligni della laringe e della trachea/bronchi/polm.,7,3
2009-2017,84022,Tumori maligni della cute,1,1
2009-2017,84022,Tumori maligni del seno,2,2
2009-2017,84022,Tumori maligni di altre parti dell'utero,0,1
2009-2017,84022,Tumori maligni dell'ovaio,0,3
2009-2017,84022,Tumori maligni della prostata,1,0
2009-2017,84022,Tumori maligni della vescica,2,1
2009-2017,84022,Tumori maligni del tessuto linfatico/ematopoietico,4,6
2009-2017,84022,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,0,1
2009-2017,84022,"Malattie endocrine, nutrizionali e metaboliche",11,15
2009-2017,84022,Diabete mellito,11,15
2009-2017,84022,Disturbi psichici e comportamentali,7,9
2009-2017,84022,Abuso di alcool (compresa psicosi alcolica),1,0
2009-2017,84022,Malattie del sistema nervoso e degli organi di senso,0,3
2009-2017,84022,Malattie del sistema circolatorio,51,52
2009-2017,84022,Malattie ischemiche del cuore,12,13
2009-2017,84022,Altre malattie del cuore,11,9
2009-2017,84022,Malattie cerebrovascolari,17,16
2009-2017,84022,Malattie del sistema respiratorio,3,4
2009-2017,84022,Polmonite,1,0
2009-2017,84022,Malattie croniche delle basse vie respiratorie,1,3
2009-2017,84022,Malattie dell'apparato digerente,4,1
2009-2017,84022,Malattie epatiche croniche,2,0
2009-2017,84022,Malattie del sistema osteomuscolare e del tessuto connettivo,0,2
2009-2017,84022,Artrite reumatoide e osteoartrite,0,2
2009-2017,84022,Malattie del sistema genitourinario,2,1
2009-2017,84022,Malattie del rene e dell'uretere,2,1
2009-2017,84022,"Sintomi, segni, risultati anomali e cause mal definite",3,4
2009-2017,84022,Cause esterne di traumatismo e avvelenamento,4,3
2009-2017,84022,Accidenti,2,3
2009-2017,84022,Cadute accidentali,1,3
2009-2017,84022,Suicidio e autolesione intenzionale,2,0
2009-2017,84023,Malattie infettive e parassitarie,2,2
2009-2017,84023,Tubercolosi,1,0
2009-2017,84023,Epatite virale,1,0
2009-2017,84023,Tumore,190,141
2009-2017,84023,Tumori maligni,186,139
2009-2017,84023,"Tumori maligni delle labbra, cavità orale e faringe",2,1
2009-2017,84023,Tumori maligni dell'esofago,2,1
2009-2017,84023,Tumori maligni dello stomaco,1,3
2009-2017,84023,Tumori maligni del colon,21,16
2009-2017,84023,Tumori maligni del retto e dell'ano,6,2
2009-2017,84023,Tumori maligni del fegato e dei dotti biliari intraepatici,13,2
2009-2017,84023,Tumori maligni del pancreas,5,12
2009-2017,84023,Tumori maligni della laringe e della trachea/bronchi/polm.,65,19
2009-2017,84023,Tumori maligni della cute,6,0
2009-2017,84023,Tumori maligni del seno,0,24
2009-2017,84023,Tumori maligni di altre parti dell'utero,0,3
2009-2017,84023,Tumori maligni dell'ovaio,0,7
2009-2017,84023,Tumori maligni della prostata,17,0
2009-2017,84023,Tumori maligni del rene,1,1
2009-2017,84023,Tumori maligni della vescica,6,2
2009-2017,84023,Tumori maligni del tessuto linfatico/ematopoietico,15,14
2009-2017,84023,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,2,4
2009-2017,84023,"Malattie endocrine, nutrizionali e metaboliche",30,40
2009-2017,84023,Diabete mellito,26,39
2009-2017,84023,Disturbi psichici e comportamentali,17,30
2009-2017,84023,Abuso di alcool (compresa psicosi alcolica),1,1
2009-2017,84023,"Dipendenza da droghe, tossicomania",1,0
2009-2017,84023,Malattie del sistema nervoso e degli organi di senso,26,26
2009-2017,84023,Malattie del sistema circolatorio,296,347
2009-2017,84023,Malattie ischemiche del cuore,103,69
2009-2017,84023,Altre malattie del cuore,28,21
2009-2017,84023,Malattie cerebrovascolari,62,110
2009-2017,84023,Malattie del sistema respiratorio,33,9
2009-2017,84023,Influenza,1,0
2009-2017,84023,Malattie croniche delle basse vie respiratorie,22,7
2009-2017,84023,Malattie dell'apparato digerente,21,17
2009-2017,84023,Malattie epatiche croniche,8,3
2009-2017,84023,Malattie della pelle e del tessuto sottocutaneo,1,1
2009-2017,84023,Malattie del sistema osteomuscolare e del tessuto connettivo,0,4
2009-2017,84023,Artrite reumatoide e osteoartrite,0,1
2009-2017,84023,Malattie del sistema genitourinario,11,9
2009-2017,84023,Malattie del rene e dell'uretere,11,9
2009-2017,84023,Malformazioni congenite e anormalità cromosomiche,0,3
2009-2017,84023,Malformazioni congenite del sistema circolatorio,0,1
2009-2017,84023,"Sintomi, segni, risultati anomali e cause mal definite",5,3
2009-2017,84023,Cause sconosciute e non specificate,1,0
2009-2017,84023,Cause esterne di traumatismo e avvelenamento,28,15
2009-2017,84023,Accidenti,22,13
2009-2017,84023,Accidenti di trasporto,5,2
2009-2017,84023,Cadute accidentali,10,8
2009-2017,84023,Avvelenamento accidentale,1,1
2009-2017,84023,Suicidio e autolesione intenzionale,6,2
2009-2017,84024,Tumore,28,18
2009-2017,84024,Tumori maligni,27,18
2009-2017,84024,Tumori maligni dello stomaco,5,2
2009-2017,84024,Tumori maligni del colon,4,1
2009-2017,84024,Tumori maligni del retto e dell'ano,2,1
2009-2017,84024,Tumori maligni del fegato e dei dotti biliari intraepatici,1,0
2009-2017,84024,Tumori maligni del pancreas,2,1
2009-2017,84024,Tumori maligni della laringe e della trachea/bronchi/polm.,4,1
2009-2017,84024,Tumori maligni del seno,0,4
2009-2017,84024,Tumori maligni di altre parti dell'utero,0,1
2009-2017,84024,Tumori maligni della prostata,3,0
2009-2017,84024,Tumori maligni della vescica,3,0
2009-2017,84024,Tumori maligni del tessuto linfatico/ematopoietico,0,3
2009-2017,84024,"Malattie endocrine, nutrizionali e metaboliche",3,9
2009-2017,84024,Diabete mellito,3,9
2009-2017,84024,Disturbi psichici e comportamentali,0,4
2009-2017,84024,Malattie del sistema nervoso e degli organi di senso,3,3
2009-2017,84024,Malattie del sistema circolatorio,55,71
2009-2017,84024,Malattie ischemiche del cuore,25,20
2009-2017,84024,Altre malattie del cuore,9,7
2009-2017,84024,Malattie cerebrovascolari,2,6
2009-2017,84024,Malattie del sistema respiratorio,2,5
2009-2017,84024,Malattie croniche delle basse vie respiratorie,1,3
2009-2017,84024,Malattie dell'apparato digerente,3,0
2009-2017,84024,Malattie epatiche croniche,2,0
2009-2017,84024,Malattie del sistema osteomuscolare e del tessuto connettivo,1,1
2009-2017,84024,Artrite reumatoide e osteoartrite,1,1
2009-2017,84024,Malattie del sistema genitourinario,2,0
2009-2017,84024,Malattie del rene e dell'uretere,2,0
2009-2017,84024,Alcune condizioni che hanno origine nel periodo perinatale,2,0
2009-2017,84024,Malformazioni congenite e anormalità cromosomiche,1,2
2009-2017,84024,Malformazioni congenite del sistema nervoso,1,1
2009-2017,84024,Malformazioni congenite del sistema circolatorio,0,1
2009-2017,84024,"Sintomi, segni, risultati anomali e cause mal definite",3,3
2009-2017,84024,Cause esterne di traumatismo e avvelenamento,3,5
2009-2017,84024,Accidenti,2,4
2009-2017,84024,Cadute accidentali,0,4
2009-2017,84024,Suicidio e autolesione intenzionale,1,0
2009-2017,84024,"Omicidio, aggressione",0,1
2009-2017,84025,Malattie infettive e parassitarie,1,0
2009-2017,84025,Tumore,56,27
2009-2017,84025,Tumori maligni,53,25
2009-2017,84025,"Tumori maligni delle labbra, cavità orale e faringe",0,1
2009-2017,84025,Tumori maligni dell'esofago,1,1
2009-2017,84025,Tumori maligni dello stomaco,1,2
2009-2017,84025,Tumori maligni del colon,11,3
2009-2017,84025,Tumori maligni del retto e dell'ano,1,1
2009-2017,84025,Tumori maligni del fegato e dei dotti biliari intraepatici,3,0
2009-2017,84025,Tumori maligni del pancreas,1,1
2009-2017,84025,Tumori maligni della laringe e della trachea/bronchi/polm.,13,1
2009-2017,84025,Tumori maligni della cute,1,0
2009-2017,84025,Tumori maligni del seno,0,7
2009-2017,84025,Tumori maligni di altre parti dell'utero,0,2
2009-2017,84025,Tumori maligni dell'ovaio,0,1
2009-2017,84025,Tumori maligni della prostata,3,0
2009-2017,84025,Tumori maligni della vescica,3,0
2009-2017,84025,Tumori maligni del tessuto linfatico/ematopoietico,6,3
2009-2017,84025,"Malattie endocrine, nutrizionali e metaboliche",11,8
2009-2017,84025,Diabete mellito,10,7
2009-2017,84025,Disturbi psichici e comportamentali,5,5
2009-2017,84025,Malattie del sistema nervoso e degli organi di senso,8,9
2009-2017,84025,Malattie del sistema circolatorio,57,62
2009-2017,84025,Malattie ischemiche del cuore,13,8
2009-2017,84025,Altre malattie del cuore,10,12
2009-2017,84025,Malattie cerebrovascolari,18,18
2009-2017,84025,Malattie del sistema respiratorio,10,7
2009-2017,84025,Influenza,0,1
2009-2017,84025,Malattie croniche delle basse vie respiratorie,6,4
2009-2017,84025,Asma,0,1
2009-2017,84025,Malattie dell'apparato digerente,5,2
2009-2017,84025,Malattie epatiche croniche,2,2
2009-2017,84025,Malattie del sistema genitourinario,2,2
2009-2017,84025,Malattie del rene e dell'uretere,2,2
2009-2017,84025,Malformazioni congenite e anormalità cromosomiche,0,1
2009-2017,84025,"Sintomi, segni, risultati anomali e cause mal definite",2,5
2009-2017,84025,Cause esterne di traumatismo e avvelenamento,5,0
2009-2017,84025,Accidenti,4,0
2009-2017,84025,Accidenti di trasporto,1,0
2009-2017,84025,Cadute accidentali,1,0
2009-2017,84025,Suicidio e autolesione intenzionale,1,0
2009-2017,84026,Malattie infettive e parassitarie,3,2
2009-2017,84026,Tubercolosi,1,0
2009-2017,84026,Tumore,131,97
2009-2017,84026,Tumori maligni,131,95
2009-2017,84026,"Tumori maligni delle labbra, cavità orale e faringe",1,0
2009-2017,84026,Tumori maligni dell'esofago,1,0
2009-2017,84026,Tumori maligni dello stomaco,4,7
2009-2017,84026,Tumori maligni del colon,16,9
2009-2017,84026,Tumori maligni del retto e dell'ano,4,1
2009-2017,84026,Tumori maligni del fegato e dei dotti biliari intraepatici,7,5
2009-2017,84026,Tumori maligni del pancreas,8,10
2009-2017,84026,Tumori maligni della laringe e della trachea/bronchi/polm.,39,11
2009-2017,84026,Tumori maligni della cute,3,0
2009-2017,84026,Tumori maligni del seno,0,15
2009-2017,84026,Tumori maligni di altre parti dell'utero,0,4
2009-2017,84026,Tumori maligni dell'ovaio,0,2
2009-2017,84026,Tumori maligni della prostata,16,0
2009-2017,84026,Tumori maligni del rene,1,1
2009-2017,84026,Tumori maligni della vescica,2,2
2009-2017,84026,Tumori maligni del tessuto linfatico/ematopoietico,14,10
2009-2017,84026,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,2,1
2009-2017,84026,"Malattie endocrine, nutrizionali e metaboliche",27,35
2009-2017,84026,Diabete mellito,27,33
2009-2017,84026,Disturbi psichici e comportamentali,1,7
2009-2017,84026,Malattie del sistema nervoso e degli organi di senso,15,15
2009-2017,84026,Meningite (diverso da 03),1,0
2009-2017,84026,Malattie del sistema circolatorio,250,335
2009-2017,84026,Malattie ischemiche del cuore,88,64
2009-2017,84026,Altre malattie del cuore,43,66
2009-2017,84026,Malattie cerebrovascolari,80,151
2009-2017,84026,Malattie del sistema respiratorio,41,21
2009-2017,84026,Polmonite,6,6
2009-2017,84026,Malattie croniche delle basse vie respiratorie,20,12
2009-2017,84026,Asma,3,2
2009-2017,84026,Malattie dell'apparato digerente,15,12
2009-2017,84026,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,84026,Malattie epatiche croniche,8,7
2009-2017,84026,Malattie della pelle e del tessuto sottocutaneo,0,1
2009-2017,84026,Malattie del sistema osteomuscolare e del tessuto connettivo,1,1
2009-2017,84026,Malattie del sistema genitourinario,6,26
2009-2017,84026,Malattie del rene e dell'uretere,6,25
2009-2017,84026,Alcune condizioni che hanno origine nel periodo perinatale,1,0
2009-2017,84026,Malformazioni congenite e anormalità cromosomiche,2,0
2009-2017,84026,Malformazioni congenite del sistema nervoso,2,0
2009-2017,84026,"Sintomi, segni, risultati anomali e cause mal definite",3,3
2009-2017,84026,Cause esterne di traumatismo e avvelenamento,23,14
2009-2017,84026,Accidenti,15,13
2009-2017,84026,Accidenti di trasporto,4,2
2009-2017,84026,Cadute accidentali,7,10
2009-2017,84026,Suicidio e autolesione intenzionale,7,1
2009-2017,84026,"Omicidio, aggressione",1,0
2009-2017,84027,Malattie infettive e parassitarie,5,5
2009-2017,84027,Epatite virale,1,0
2009-2017,84027,Tumore,288,174
2009-2017,84027,Tumori maligni,283,170
2009-2017,84027,"Tumori maligni delle labbra, cavità orale e faringe",5,2
2009-2017,84027,Tumori maligni dell'esofago,1,3
2009-2017,84027,Tumori maligni dello stomaco,15,8
2009-2017,84027,Tumori maligni del colon,25,18
2009-2017,84027,Tumori maligni del retto e dell'ano,5,2
2009-2017,84027,Tumori maligni del fegato e dei dotti biliari intraepatici,12,8
2009-2017,84027,Tumori maligni del pancreas,17,12
2009-2017,84027,Tumori maligni della laringe e della trachea/bronchi/polm.,99,21
2009-2017,84027,Tumori maligni della cute,5,1
2009-2017,84027,Tumori maligni del seno,3,37
2009-2017,84027,Tumori maligni della cervice uterina,0,1
2009-2017,84027,Tumori maligni di altre parti dell'utero,0,9
2009-2017,84027,Tumori maligni dell'ovaio,0,5
2009-2017,84027,Tumori maligni della prostata,27,0
2009-2017,84027,Tumori maligni del rene,1,1
2009-2017,84027,Tumori maligni della vescica,22,2
2009-2017,84027,Tumori maligni del tessuto linfatico/ematopoietico,15,18
2009-2017,84027,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,4,9
2009-2017,84027,"Malattie endocrine, nutrizionali e metaboliche",47,77
2009-2017,84027,Diabete mellito,45,68
2009-2017,84027,Disturbi psichici e comportamentali,14,13
2009-2017,84027,Malattie del sistema nervoso e degli organi di senso,23,27
2009-2017,84027,Malattie del sistema circolatorio,408,492
2009-2017,84027,Malattie ischemiche del cuore,122,92
2009-2017,84027,Altre malattie del cuore,66,81
2009-2017,84027,Malattie cerebrovascolari,167,257
2009-2017,84027,Malattie del sistema respiratorio,63,35
2009-2017,84027,Influenza,0,1
2009-2017,84027,Polmonite,8,8
2009-2017,84027,Malattie croniche delle basse vie respiratorie,44,18
2009-2017,84027,Asma,3,0
2009-2017,84027,Malattie dell'apparato digerente,29,21
2009-2017,84027,Malattie epatiche croniche,17,9
2009-2017,84027,Malattie del sistema osteomuscolare e del tessuto connettivo,1,3
2009-2017,84027,Artrite reumatoide e osteoartrite,1,1
2009-2017,84027,Malattie del sistema genitourinario,28,25
2009-2017,84027,Malattie del rene e dell'uretere,28,25
2009-2017,84027,Alcune condizioni che hanno origine nel periodo perinatale,8,2
2009-2017,84027,Malformazioni congenite e anormalità cromosomiche,5,1
2009-2017,84027,Malformazioni congenite del sistema nervoso,3,1
2009-2017,84027,Malformazioni congenite del sistema circolatorio,1,0
2009-2017,84027,"Sintomi, segni, risultati anomali e cause mal definite",25,17
2009-2017,84027,Cause esterne di traumatismo e avvelenamento,51,18
2009-2017,84027,Accidenti,28,17
2009-2017,84027,Accidenti di trasporto,11,4
2009-2017,84027,Cadute accidentali,13,11
2009-2017,84027,Suicidio e autolesione intenzionale,14,1
2009-2017,84027,"Omicidio, aggressione",7,0
2009-2017,84028,Malattie infettive e parassitarie,2,1
2009-2017,84028,Tubercolosi,0,1
2009-2017,84028,Tumore,245,134
2009-2017,84028,Tumori maligni,243,132
2009-2017,84028,"Tumori maligni delle labbra, cavità orale e faringe",3,1
2009-2017,84028,Tumori maligni dell'esofago,1,0
2009-2017,84028,Tumori maligni dello stomaco,20,9
2009-2017,84028,Tumori maligni del colon,16,19
2009-2017,84028,Tumori maligni del retto e dell'ano,5,1
2009-2017,84028,Tumori maligni del fegato e dei dotti biliari intraepatici,25,10
2009-2017,84028,Tumori maligni del pancreas,10,11
2009-2017,84028,Tumori maligni della laringe e della trachea/bronchi/polm.,70,12
2009-2017,84028,Tumori maligni della cute,1,3
2009-2017,84028,Tumori maligni del seno,0,26
2009-2017,84028,Tumori maligni di altre parti dell'utero,0,4
2009-2017,84028,Tumori maligni dell'ovaio,0,5
2009-2017,84028,Tumori maligni della prostata,16,0
2009-2017,84028,Tumori maligni del rene,2,2
2009-2017,84028,Tumori maligni della vescica,25,3
2009-2017,84028,Tumori maligni del tessuto linfatico/ematopoietico,22,13
2009-2017,84028,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,3,4
2009-2017,84028,"Malattie endocrine, nutrizionali e metaboliche",34,41
2009-2017,84028,Diabete mellito,30,39
2009-2017,84028,Disturbi psichici e comportamentali,4,12
2009-2017,84028,"Dipendenza da droghe, tossicomania",1,0
2009-2017,84028,Malattie del sistema nervoso e degli organi di senso,17,20
2009-2017,84028,Malattie del sistema circolatorio,270,277
2009-2017,84028,Malattie ischemiche del cuore,97,65
2009-2017,84028,Altre malattie del cuore,43,61
2009-2017,84028,Malattie cerebrovascolari,95,103
2009-2017,84028,Malattie del sistema respiratorio,52,28
2009-2017,84028,Polmonite,10,10
2009-2017,84028,Malattie croniche delle basse vie respiratorie,26,11
2009-2017,84028,Malattie dell'apparato digerente,26,37
2009-2017,84028,"Ulcera dello stomaco, duodeno e digiuno",2,1
2009-2017,84028,Malattie epatiche croniche,17,20
2009-2017,84028,Malattie della pelle e del tessuto sottocutaneo,0,1
2009-2017,84028,Malattie del sistema osteomuscolare e del tessuto connettivo,0,1
2009-2017,84028,Malattie del sistema genitourinario,16,17
2009-2017,84028,Malattie del rene e dell'uretere,16,17
2009-2017,84028,Alcune condizioni che hanno origine nel periodo perinatale,0,2
2009-2017,84028,Malformazioni congenite e anormalità cromosomiche,5,4
2009-2017,84028,Malformazioni congenite del sistema nervoso,1,1
2009-2017,84028,Malformazioni congenite del sistema circolatorio,1,0
2009-2017,84028,"Sintomi, segni, risultati anomali e cause mal definite",16,19
2009-2017,84028,Cause esterne di traumatismo e avvelenamento,27,13
2009-2017,84028,Accidenti,17,8
2009-2017,84028,Accidenti di trasporto,4,1
